# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-10-12 07:07:53 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07031650 WOLF RIVER AT GERMANTOWN, TN
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 07031650
#    TS_ID       Parameter Description
#    131625      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	131625_00060	131625_00060_cd
5s	15s	20d	6s	14n	10s
USGS	07031650	2023-10-13 06:15	CDT	274	A
USGS	07031650	2023-10-13 06:30	CDT	274	A
USGS	07031650	2023-10-13 06:45	CDT	274	A
USGS	07031650	2023-10-13 07:00	CDT	274	A
USGS	07031650	2023-10-13 07:15	CDT	274	A
USGS	07031650	2023-10-13 07:30	CDT	274	A
USGS	07031650	2023-10-13 07:45	CDT	274	A
USGS	07031650	2023-10-13 08:00	CDT	274	A
USGS	07031650	2023-10-13 08:15	CDT	274	A
USGS	07031650	2023-10-13 08:30	CDT	274	A
USGS	07031650	2023-10-13 08:45	CDT	274	A
USGS	07031650	2023-10-13 09:00	CDT	274	A
USGS	07031650	2023-10-13 09:15	CDT	274	A
USGS	07031650	2023-10-13 09:30	CDT	274	A
USGS	07031650	2023-10-13 09:45	CDT	274	A
USGS	07031650	2023-10-13 10:00	CDT	274	A
USGS	07031650	2023-10-13 10:15	CDT	274	A
USGS	07031650	2023-10-13 10:30	CDT	274	A
USGS	07031650	2023-10-13 10:45	CDT	274	A
USGS	07031650	2023-10-13 11:00	CDT	274	A
USGS	07031650	2023-10-13 11:15	CDT	274	A
USGS	07031650	2023-10-13 11:30	CDT	274	A
USGS	07031650	2023-10-13 11:45	CDT	274	A
USGS	07031650	2023-10-13 12:00	CDT	274	A
USGS	07031650	2023-10-13 12:15	CDT	274	A
USGS	07031650	2023-10-13 12:30	CDT	274	A
USGS	07031650	2023-10-13 12:45	CDT	274	A
USGS	07031650	2023-10-13 13:00	CDT	274	A
USGS	07031650	2023-10-13 13:15	CDT	274	A
USGS	07031650	2023-10-13 13:30	CDT	274	A
USGS	07031650	2023-10-13 13:45	CDT	274	A
USGS	07031650	2023-10-13 14:00	CDT	277	A
USGS	07031650	2023-10-13 14:15	CDT	277	A
USGS	07031650	2023-10-13 14:30	CDT	277	A
USGS	07031650	2023-10-13 14:45	CDT	277	A
USGS	07031650	2023-10-13 15:00	CDT	277	A
USGS	07031650	2023-10-13 15:15	CDT	277	A
USGS	07031650	2023-10-13 15:30	CDT	277	A
USGS	07031650	2023-10-13 15:45	CDT	274	A
USGS	07031650	2023-10-13 16:00	CDT	277	A
USGS	07031650	2023-10-13 16:15	CDT	274	A
USGS	07031650	2023-10-13 16:30	CDT	277	A
USGS	07031650	2023-10-13 16:45	CDT	277	A
USGS	07031650	2023-10-13 17:00	CDT	277	A
USGS	07031650	2023-10-13 17:15	CDT	277	A
USGS	07031650	2023-10-13 17:30	CDT	277	A
USGS	07031650	2023-10-13 17:45	CDT	277	A
USGS	07031650	2023-10-13 18:00	CDT	277	A
USGS	07031650	2023-10-13 18:15	CDT	277	A
USGS	07031650	2023-10-13 18:30	CDT	277	A
USGS	07031650	2023-10-13 18:45	CDT	277	A
USGS	07031650	2023-10-13 19:00	CDT	277	A
USGS	07031650	2023-10-13 19:15	CDT	277	A
USGS	07031650	2023-10-13 19:30	CDT	277	A
USGS	07031650	2023-10-13 19:45	CDT	277	A
USGS	07031650	2023-10-13 20:00	CDT	277	A
USGS	07031650	2023-10-13 20:15	CDT	277	A
USGS	07031650	2023-10-13 20:30	CDT	277	A
USGS	07031650	2023-10-13 20:45	CDT	277	A
USGS	07031650	2023-10-13 21:00	CDT	277	A
USGS	07031650	2023-10-13 21:15	CDT	279	A
USGS	07031650	2023-10-13 21:30	CDT	277	A
USGS	07031650	2023-10-13 21:45	CDT	279	A
USGS	07031650	2023-10-13 22:00	CDT	277	A
USGS	07031650	2023-10-13 22:15	CDT	277	A
USGS	07031650	2023-10-13 22:30	CDT	277	A
USGS	07031650	2023-10-13 22:45	CDT	277	A
USGS	07031650	2023-10-13 23:00	CDT	280	A
USGS	07031650	2023-10-13 23:15	CDT	277	A
USGS	07031650	2023-10-13 23:30	CDT	280	A
USGS	07031650	2023-10-13 23:45	CDT	280	A
USGS	07031650	2023-10-14 00:00	CDT	277	A
USGS	07031650	2023-10-14 00:15	CDT	277	A
USGS	07031650	2023-10-14 00:30	CDT	277	A
USGS	07031650	2023-10-14 00:45	CDT	277	A
USGS	07031650	2023-10-14 01:00	CDT	277	A
USGS	07031650	2023-10-14 01:15	CDT	280	A
USGS	07031650	2023-10-14 01:30	CDT	277	A
USGS	07031650	2023-10-14 01:45	CDT	277	A
USGS	07031650	2023-10-14 02:00	CDT	277	A
USGS	07031650	2023-10-14 02:15	CDT	277	A
USGS	07031650	2023-10-14 02:30	CDT	277	A
USGS	07031650	2023-10-14 02:45	CDT	277	A
USGS	07031650	2023-10-14 03:00	CDT	280	A
USGS	07031650	2023-10-14 03:15	CDT	277	A
USGS	07031650	2023-10-14 03:30	CDT	277	A
USGS	07031650	2023-10-14 03:45	CDT	277	A
USGS	07031650	2023-10-14 04:00	CDT	277	A
USGS	07031650	2023-10-14 04:15	CDT	277	A
USGS	07031650	2023-10-14 04:30	CDT	277	A
USGS	07031650	2023-10-14 04:45	CDT	277	A
USGS	07031650	2023-10-14 05:00	CDT	277	A
USGS	07031650	2023-10-14 05:15	CDT	277	A
USGS	07031650	2023-10-14 05:30	CDT	277	A
USGS	07031650	2023-10-14 05:45	CDT	277	A
USGS	07031650	2023-10-14 06:00	CDT	277	A
USGS	07031650	2023-10-14 06:15	CDT	277	A
USGS	07031650	2023-10-14 06:30	CDT	277	A
USGS	07031650	2023-10-14 06:45	CDT	277	A
USGS	07031650	2023-10-14 07:00	CDT	277	A
USGS	07031650	2023-10-14 07:15	CDT	277	A
USGS	07031650	2023-10-14 07:30	CDT	274	A
USGS	07031650	2023-10-14 07:45	CDT	274	A
USGS	07031650	2023-10-14 08:00	CDT	274	A
USGS	07031650	2023-10-14 08:15	CDT	274	A
USGS	07031650	2023-10-14 08:30	CDT	274	A
USGS	07031650	2023-10-14 08:45	CDT	274	A
USGS	07031650	2023-10-14 09:00	CDT	274	A
USGS	07031650	2023-10-14 09:15	CDT	277	A
USGS	07031650	2023-10-14 09:30	CDT	274	A
USGS	07031650	2023-10-14 09:45	CDT	274	A
USGS	07031650	2023-10-14 10:00	CDT	274	A
USGS	07031650	2023-10-14 10:15	CDT	274	A
USGS	07031650	2023-10-14 10:30	CDT	274	A
USGS	07031650	2023-10-14 10:45	CDT	274	A
USGS	07031650	2023-10-14 11:00	CDT	274	A
USGS	07031650	2023-10-14 11:15	CDT	271	A
USGS	07031650	2023-10-14 11:30	CDT	271	A
USGS	07031650	2023-10-14 11:45	CDT	274	A
USGS	07031650	2023-10-14 12:00	CDT	274	A
USGS	07031650	2023-10-14 12:15	CDT	274	A
USGS	07031650	2023-10-14 12:30	CDT	271	A
USGS	07031650	2023-10-14 12:45	CDT	274	A
USGS	07031650	2023-10-14 13:00	CDT	271	A
USGS	07031650	2023-10-14 13:15	CDT	271	A
USGS	07031650	2023-10-14 13:30	CDT	274	A
USGS	07031650	2023-10-14 13:45	CDT	274	A
USGS	07031650	2023-10-14 14:00	CDT	271	A
USGS	07031650	2023-10-14 14:15	CDT	274	A
USGS	07031650	2023-10-14 14:30	CDT	272	A
USGS	07031650	2023-10-14 14:45	CDT	274	A
USGS	07031650	2023-10-14 15:00	CDT	274	A
USGS	07031650	2023-10-14 15:15	CDT	274	A
USGS	07031650	2023-10-14 15:30	CDT	274	A
USGS	07031650	2023-10-14 15:45	CDT	274	A
USGS	07031650	2023-10-14 16:00	CDT	274	A
USGS	07031650	2023-10-14 16:15	CDT	274	A
USGS	07031650	2023-10-14 16:30	CDT	277	A
USGS	07031650	2023-10-14 16:45	CDT	277	A
USGS	07031650	2023-10-14 17:00	CDT	274	A
USGS	07031650	2023-10-14 17:15	CDT	274	A
USGS	07031650	2023-10-14 17:30	CDT	274	A
USGS	07031650	2023-10-14 17:45	CDT	274	A
USGS	07031650	2023-10-14 18:00	CDT	274	A
USGS	07031650	2023-10-14 18:15	CDT	274	A
USGS	07031650	2023-10-14 18:30	CDT	277	A
USGS	07031650	2023-10-14 18:45	CDT	277	A
USGS	07031650	2023-10-14 19:00	CDT	277	A
USGS	07031650	2023-10-14 19:15	CDT	277	A
USGS	07031650	2023-10-14 19:30	CDT	277	A
USGS	07031650	2023-10-14 19:45	CDT	277	A
USGS	07031650	2023-10-14 20:00	CDT	277	A
USGS	07031650	2023-10-14 20:15	CDT	277	A
USGS	07031650	2023-10-14 20:30	CDT	277	A
USGS	07031650	2023-10-14 20:45	CDT	277	A
USGS	07031650	2023-10-14 21:00	CDT	274	A
USGS	07031650	2023-10-14 21:15	CDT	277	A
USGS	07031650	2023-10-14 21:30	CDT	274	A
USGS	07031650	2023-10-14 21:45	CDT	277	A
USGS	07031650	2023-10-14 22:00	CDT	277	A
USGS	07031650	2023-10-14 22:15	CDT	277	A
USGS	07031650	2023-10-14 22:30	CDT	277	A
USGS	07031650	2023-10-14 22:45	CDT	277	A
USGS	07031650	2023-10-14 23:00	CDT	277	A
USGS	07031650	2023-10-14 23:15	CDT	274	A
USGS	07031650	2023-10-14 23:30	CDT	277	A
USGS	07031650	2023-10-14 23:45	CDT	274	A
USGS	07031650	2023-10-15 00:00	CDT	277	A
USGS	07031650	2023-10-15 00:15	CDT	274	A
USGS	07031650	2023-10-15 00:30	CDT	277	A
USGS	07031650	2023-10-15 00:45	CDT	274	A
USGS	07031650	2023-10-15 01:00	CDT	277	A
USGS	07031650	2023-10-15 01:15	CDT	274	A
USGS	07031650	2023-10-15 01:30	CDT	274	A
USGS	07031650	2023-10-15 01:45	CDT	274	A
USGS	07031650	2023-10-15 02:00	CDT	274	A
USGS	07031650	2023-10-15 02:15	CDT	274	A
USGS	07031650	2023-10-15 02:30	CDT	274	A
USGS	07031650	2023-10-15 02:45	CDT	277	A
USGS	07031650	2023-10-15 03:00	CDT	274	A
USGS	07031650	2023-10-15 03:15	CDT	274	A
USGS	07031650	2023-10-15 03:30	CDT	274	A
USGS	07031650	2023-10-15 03:45	CDT	274	A
USGS	07031650	2023-10-15 04:00	CDT	274	A
USGS	07031650	2023-10-15 04:15	CDT	274	A
USGS	07031650	2023-10-15 04:30	CDT	274	A
USGS	07031650	2023-10-15 04:45	CDT	274	A
USGS	07031650	2023-10-15 05:00	CDT	272	A
USGS	07031650	2023-10-15 05:15	CDT	274	A
USGS	07031650	2023-10-15 05:30	CDT	272	A
USGS	07031650	2023-10-15 05:45	CDT	272	A
USGS	07031650	2023-10-15 06:00	CDT	272	A
USGS	07031650	2023-10-15 06:15	CDT	272	A
USGS	07031650	2023-10-15 06:30	CDT	272	A
USGS	07031650	2023-10-15 06:45	CDT	272	A
USGS	07031650	2023-10-15 07:00	CDT	272	A
USGS	07031650	2023-10-15 07:15	CDT	272	A
USGS	07031650	2023-10-15 07:30	CDT	272	A
USGS	07031650	2023-10-15 07:45	CDT	272	A
USGS	07031650	2023-10-15 08:00	CDT	272	A
USGS	07031650	2023-10-15 08:15	CDT	269	A
USGS	07031650	2023-10-15 08:30	CDT	272	A
USGS	07031650	2023-10-15 08:45	CDT	269	A
USGS	07031650	2023-10-15 09:00	CDT	269	A
USGS	07031650	2023-10-15 09:15	CDT	269	A
USGS	07031650	2023-10-15 09:30	CDT	269	A
USGS	07031650	2023-10-15 09:45	CDT	269	A
USGS	07031650	2023-10-15 10:00	CDT	269	A
USGS	07031650	2023-10-15 10:15	CDT	269	A
USGS	07031650	2023-10-15 10:30	CDT	269	A
USGS	07031650	2023-10-15 10:45	CDT	269	A
USGS	07031650	2023-10-15 11:00	CDT	269	A
USGS	07031650	2023-10-15 11:15	CDT	266	A
USGS	07031650	2023-10-15 11:30	CDT	269	A
USGS	07031650	2023-10-15 11:45	CDT	266	A
USGS	07031650	2023-10-15 12:00	CDT	269	A
USGS	07031650	2023-10-15 12:15	CDT	266	A
USGS	07031650	2023-10-15 12:30	CDT	269	A
USGS	07031650	2023-10-15 12:45	CDT	269	A
USGS	07031650	2023-10-15 13:00	CDT	269	A
USGS	07031650	2023-10-15 13:15	CDT	266	A
USGS	07031650	2023-10-15 13:30	CDT	269	A
USGS	07031650	2023-10-15 13:45	CDT	266	A
USGS	07031650	2023-10-15 14:00	CDT	269	A
USGS	07031650	2023-10-15 14:15	CDT	269	A
USGS	07031650	2023-10-15 14:30	CDT	269	A
USGS	07031650	2023-10-15 14:45	CDT	266	A
USGS	07031650	2023-10-15 15:00	CDT	269	A
USGS	07031650	2023-10-15 15:15	CDT	269	A
USGS	07031650	2023-10-15 15:30	CDT	269	A
USGS	07031650	2023-10-15 15:45	CDT	269	A
USGS	07031650	2023-10-15 16:00	CDT	269	A
USGS	07031650	2023-10-15 16:15	CDT	269	A
USGS	07031650	2023-10-15 16:30	CDT	269	A
USGS	07031650	2023-10-15 16:45	CDT	272	A
USGS	07031650	2023-10-15 17:00	CDT	272	A
USGS	07031650	2023-10-15 17:15	CDT	272	A
USGS	07031650	2023-10-15 17:30	CDT	272	A
USGS	07031650	2023-10-15 17:45	CDT	272	A
USGS	07031650	2023-10-15 18:00	CDT	272	A
USGS	07031650	2023-10-15 18:15	CDT	272	A
USGS	07031650	2023-10-15 18:30	CDT	272	A
USGS	07031650	2023-10-15 18:45	CDT	272	A
USGS	07031650	2023-10-15 19:00	CDT	272	A
USGS	07031650	2023-10-15 19:15	CDT	272	A
